,Cluster,Antibody
473,4,BD-898
474,4,BD-922
475,4,BD55-1180
476,4,BD55-1263
477,4,BD55-1334
478,4,BD55-1421
479,4,BD55-1508
480,4,BD55-4662
481,4,BD55-5183
482,4,BD55-556
483,4,BD55-5655
484,4,BD55-5774
485,4,BD55-5866
486,4,BD55-5887
487,4,BD55-5912
488,4,BD55-5917
489,4,BD55-5957
490,4,BD55-6390
491,4,BD56-005
492,4,BD56-049
493,4,BD56-1287
494,4,BD56-133
495,4,BD56-1391
496,4,BD56-1439
497,4,BD56-1446
498,4,BD56-1469
499,4,BD56-147
500,4,BD56-1609
501,4,BD56-1631
502,4,BD56-1662
503,4,BD56-1679
504,4,BD56-1717
505,4,BD56-1775
506,4,BD56-1776
507,4,BD56-1787
508,4,BD56-1815
509,4,BD56-1829
510,4,BD56-1833
511,4,BD56-1861
512,4,BD56-187
513,4,BD56-1872
514,4,BD56-1889
515,4,BD56-1893
516,4,BD56-1896
517,4,BD56-1904
518,4,BD56-265
519,4,BD56-416
520,4,BD56-418
521,4,BD56-424
522,4,BD56-426
523,4,BD56-428
524,4,BD56-431
525,4,BD56-441
526,4,BD56-447
527,4,BD56-457
528,4,BD56-470
529,4,BD56-471
530,4,BD56-472
531,4,BD56-474
532,4,BD56-479
533,4,BD56-481
534,4,BD56-483
535,4,BD56-489
536,4,BD56-499
537,4,BD56-506
538,4,BD56-508
539,4,BD56-510
540,4,BD56-519
541,4,BD56-532
542,4,BD56-556
543,4,BD56-564
544,4,BD56-589
545,4,BD56-593
546,4,BD56-606
547,4,BD56-657
548,4,BD56-920
549,4,BD56-965
550,4,BD57-012
551,4,BD57-022
552,4,BD57-031
553,4,BD57-038
554,4,BD57-049
555,4,BD57-062
556,4,BD57-079
557,4,C597
558,4,COV2-2072
559,4,COV2-2381
560,4,COV2-2684
561,4,COV2-2941
562,4,COV2-3025
563,4,COVOX-253H165L
564,4,COVOX-253H55L
565,4,CV-X2-106
566,4,CV07-209
567,4,CV07-250
568,4,CV07-287
569,4,DH1155
570,4,S2E12
571,4,XG2v-095
572,4,XGv-050
573,4,XGv-279
574,4,XGv-347
575,4,XGv-409
576,5,2-15
577,5,7D6
578,5,B38
579,5,BD-196
580,5,BD-236
581,5,BD-254
582,5,BD-362
583,5,BD-368
584,5,BD-397
585,5,BD-403
586,5,BD-417
587,5,BD-449
588,5,BD-504
589,5,BD-536
590,5,BD-598
591,5,BD-618
592,5,BD-619
593,5,BD-629
594,5,BD-643
595,5,BD-693
596,5,BD-694
597,5,BD-715
598,5,BD-732
599,5,BD-739
600,5,BD-751
601,5,BD-767
602,5,BD-790
603,5,BD-791
604,5,BD-813
605,5,BD-822
606,5,BD-835
607,5,BD-870
608,5,BD-897
609,5,BD-900
610,5,BD-906
611,5,BD55-1051
612,5,BD55-1065
613,5,BD55-1078
614,5,BD55-1092
615,5,BD55-1132
616,5,BD55-1171
617,5,BD55-1223
618,5,BD55-1232
619,5,BD55-1245
620,5,BD55-1249
621,5,BD55-1256
622,5,BD55-1274
623,5,BD55-1374
624,5,BD55-1450
625,5,BD55-1502
626,5,BD55-1558
627,5,BD55-1576
628,5,BD55-1579
629,5,BD55-1694
630,5,BD55-1789
631,5,BD55-1809
632,5,BD55-1970
633,5,BD55-300
634,5,BD55-3451
635,5,BD55-3457
636,5,BD55-3716
637,5,BD55-4281
638,5,BD55-4285
639,5,BD55-4325
640,5,BD55-4344
641,5,BD55-4348
642,5,BD55-4351
643,5,BD55-4892
644,5,BD55-5163
645,5,BD55-5195
646,5,BD55-5198
647,5,BD55-5333
648,5,BD55-5342
649,5,BD55-5396
650,5,BD55-5416
651,5,BD55-5448
652,5,BD55-5466
653,5,BD55-5477
654,5,BD55-5512
655,5,BD55-5542
656,5,BD55-5543
657,5,BD55-5593
658,5,BD55-5598
659,5,BD55-5599
660,5,BD55-5631
661,5,BD55-5634
662,5,BD55-5659
663,5,BD55-5689
664,5,BD55-5693
665,5,BD55-5728
666,5,BD55-5747
667,5,BD55-5785
668,5,BD55-5831
669,5,BD55-5854
670,5,BD55-5856
671,5,BD55-5897
672,5,BD55-5901
673,5,BD55-5903
674,5,BD55-5908
675,5,BD55-5918
676,5,BD55-5925
677,5,BD55-5933
678,5,BD55-5943
679,5,BD55-5945
680,5,BD55-5948
681,5,BD55-5950
682,5,BD55-5966
683,5,BD55-5974
684,5,BD55-600
685,5,BD55-6096
686,5,BD55-6099
687,5,BD55-6241
688,5,BD55-6251
689,5,BD55-6373
690,5,BD55-6386
691,5,BD55-6387
692,5,BD55-6393
693,5,BD55-6431
694,5,BD55-6467
695,5,BD55-6468
696,5,BD55-6526
697,5,BD55-6579
698,5,BD55-6619
699,5,BD55-6626
700,5,BD55-6644
701,5,BD55-6667
702,5,BD55-6671
703,5,BD55-6677
704,5,BD55-6689
705,5,BD55-6714
706,5,BD55-75
707,5,BD55-81
708,5,BD55-833
709,5,BD55-837
710,5,BD55-847
711,5,BD55-856
712,5,BD55-871
713,5,BD55-879
714,5,BD55-892
715,5,BD55-903
716,5,BD55-905
717,5,BD55-906
718,5,BD55-910
719,5,BD55-913
720,5,BD55-944
721,5,BD55-965
722,5,BD55-97
723,5,BD56-059
724,5,BD56-1181
725,5,BD56-1243
726,5,BD56-1250
727,5,BD56-1257
728,5,BD56-1262
729,5,BD56-1265
730,5,BD56-1273
731,5,BD56-1309
732,5,BD56-1319
733,5,BD56-1327
734,5,BD56-1393
735,5,BD56-1403
736,5,BD56-1428
737,5,BD56-1451
738,5,BD56-1459
739,5,BD56-1463
740,5,BD56-1477
741,5,BD56-1481
742,5,BD56-1518
743,5,BD56-1552
744,5,BD56-1585
745,5,BD56-1618
746,5,BD56-1684
747,5,BD56-1754
748,5,BD56-1770
749,5,BD56-1802
750,5,BD56-1820
751,5,BD56-1838
752,5,BD56-1840
753,5,BD56-1850
754,5,BD56-1853
755,5,BD56-1860
756,5,BD56-1869
757,5,BD56-1880
758,5,BD56-1883
759,5,BD56-1887
760,5,BD56-1900
761,5,BD56-1903
762,5,BD56-1907
763,5,BD56-1915
764,5,BD56-1916
765,5,BD56-1921
766,5,BD56-1925
767,5,BD56-1928
768,5,BD56-1930
769,5,BD56-1934
770,5,BD56-1937
771,5,BD56-1945
772,5,BD56-1949
773,5,BD56-233
774,5,BD56-234
775,5,BD56-412
776,5,BD56-413
777,5,BD56-423
778,5,BD56-433
779,5,BD56-437
780,5,BD56-493
781,5,BD56-619
782,5,BD56-917
783,5,BD56-961
784,5,BD56-969
785,5,BD57-003
786,5,BD57-005
787,5,BD57-006
788,5,BD57-013
789,5,BD57-018
790,5,BD57-025
791,5,BD57-0287
792,5,BD57-029
793,5,BD58-0448
794,5,BD58-0573
795,5,BG1-24
796,5,BG10-19
797,5,BG7-20
798,5,C002
799,5,C058
800,5,C102
801,5,C105
802,5,C121
803,5,C144
804,5,C1A-B12
805,5,C1A-B3
806,5,C1A-C2
807,5,C1A-F10
808,5,C591
809,5,CC12.1
810,5,CC12.3
811,5,CM32
812,5,COV2-2479
813,5,COV2-2499
814,5,COV2-2504
815,5,COV2-2589
816,5,COV2-2678
817,5,COV2-2807
818,5,COV2-2919
819,5,COVA2-04
820,5,COVA2-39
821,5,COVOX-269
822,5,COVOX-316
823,5,COVOX-384
824,5,COVOX-40
825,5,COVOX-88
826,5,CV05-163
827,5,CV07-200
828,5,CV07-222
829,5,CV07-255
830,5,CV07-262
831,5,CV07-283
832,5,CV07-315
833,5,DH1041
834,5,DH1042
835,5,DH1043
836,5,DH1047
837,5,DH1082
838,5,DH1111
839,5,DH1128
840,5,DH1129
841,5,DH1130
842,5,DH1143
843,5,DH1154
844,5,DH1159-2
845,5,DH1173
846,5,DH1179
847,5,DH1180
848,5,DH1183
849,5,DH1184
850,5,DH1186
851,5,DH1196
852,5,DH1210
853,5,DH1214
854,5,DXP-593
855,5,Ehling_mAb-64
856,5,H4
857,5,LY-CoV016
858,5,LY-CoV488
859,5,LY-CoV555
860,5,P2B-1A10
861,5,P2C-1A3
862,5,P4A1
863,5,P5A-2G9
864,5,P5A-3A1
865,5,S2H13
866,5,S2H14
867,5,S2M11
868,5,XG-017
869,5,XGv-003
870,5,XGv-032
871,5,XGv-040
872,5,XGv-055
873,5,XGv-094
874,5,XGv-097
875,5,XGv-116
876,5,XGv-152
877,5,XGv-155
878,5,XGv-225
879,5,XGv-232
880,5,XGv-337
881,5,XGv-387
882,5,XGv-421
883,6,BD-421
884,6,BD55-1192
885,6,BD55-1957
886,6,BD55-1962
887,6,BD55-5721
888,6,BD55-5904
889,6,BD55-5909
890,6,BD55-5962
891,6,BD55-606
892,6,BD55-6385
893,6,BD55-818
894,6,BD55-864
895,6,BD55-887
896,6,BD55-899
897,6,BD55-917
898,6,BD55-939
899,6,BD55-958
900,6,BD55-970
901,6,BD55-988
902,6,BD56-014
903,6,BD56-022
904,6,BD56-031
905,6,BD56-077
906,6,BD56-108
907,6,BD56-112
908,6,BD56-1223
909,6,BD56-1231
910,6,BD56-1235
911,6,BD56-1277
912,6,BD56-1279
913,6,BD56-1282
914,6,BD56-132
915,6,BD56-1433
916,6,BD56-1468
917,6,BD56-1573
918,6,BD56-1596
919,6,BD56-1663
920,6,BD56-1690
921,6,BD56-1739
922,6,BD56-1744
923,6,BD56-1749
924,6,BD56-1759
925,6,BD56-1764
926,6,BD56-1784
927,6,BD56-1789
928,6,BD56-1791
929,6,BD56-1805
930,6,BD56-1808
931,6,BD56-1843
932,6,BD56-1862
933,6,BD56-1873
934,6,BD56-1890
935,6,BD56-1892
936,6,BD56-1905
937,6,BD56-432
938,6,BD56-456
939,6,BD56-491
940,6,BD56-541
941,6,BD56-558
942,6,BD56-618
943,6,BD56-669
944,6,BD56-904
945,6,BD56-960
946,6,BD57-035
947,6,BD57-0411
948,6,BD57-046
949,6,BD57-054
950,6,BD57-067
951,6,BD57-069
952,6,BD57-089
953,6,C110
954,6,TAU-2189
955,6,TAU-2220
956,6,XG2v-083
957,6,XGv-198
958,6,XGv-251
959,6,XGv-343
960,7,BD-713
961,7,BD-804
962,7,BD-912
963,7,BD-914
964,7,BD-915
965,7,BD55-1114
966,7,BD55-1208
967,7,BD55-1284
968,7,BD55-1381
969,7,BD55-1403
970,7,BD55-1416
971,7,BD55-1575
972,7,BD55-1779
973,7,BD55-4467
974,7,BD55-5182
975,7,BD55-5196
976,7,BD55-5201
977,7,BD55-5219
978,7,BD55-5233
979,7,BD55-5256
980,7,BD55-5286
981,7,BD55-5296
982,7,BD55-5304
983,7,BD55-5325
984,7,BD55-5343
985,7,BD55-5354
986,7,BD55-5358
987,7,BD55-5404
988,7,BD55-5415
989,7,BD55-5431
990,7,BD55-5526
991,7,BD55-5540
992,7,BD55-5580
993,7,BD55-5588
994,7,BD55-5733
995,7,BD55-5743
996,7,BD55-5771
997,7,BD55-5792
998,7,BD55-5906
999,7,BD55-5927
1000,7,BD55-5942
1001,7,BD55-6012
1002,7,BD55-6083
1003,7,BD55-6090
1004,7,BD55-6092
1005,7,BD55-6195
1006,7,BD55-6203
1007,7,BD55-6206
1008,7,BD55-6247
