study,antibody,virus,IC50
imprinted_2022,XGv-421,D614G,0.0439
imprinted_2022,XGv-422,D614G,0.394
imprinted_2022,BD57-001,D614G,0.0195
imprinted_2022,BD57-002,D614G,0.001
imprinted_2022,BD57-003,D614G,0.00205
imprinted_2022,BD57-005,D614G,0.00652
imprinted_2022,BD57-006,D614G,0.001
imprinted_2022,BD57-012,D614G,0.00129
imprinted_2022,BD57-013,D614G,0.00942
imprinted_2022,BD57-014,D614G,0.0399
imprinted_2022,BD57-015,D614G,0.00239
imprinted_2022,BD57-017,D614G,0.006
imprinted_2022,BD57-018,D614G,0.0164
imprinted_2022,BD57-020,D614G,0.00421
imprinted_2022,BD57-022,D614G,0.001
imprinted_2022,BD57-023,D614G,0.0015
imprinted_2022,BD57-024,D614G,0.00421
imprinted_2022,BD57-025,D614G,0.00541
imprinted_2022,BD57-026,D614G,0.0673
imprinted_2022,BD57-027,D614G,0.0143
imprinted_2022,BD57-028,D614G,0.00194
imprinted_2022,BD57-029,D614G,0.00408
imprinted_2022,BD57-030,D614G,0.0152
imprinted_2022,BD57-031,D614G,0.001
imprinted_2022,BD57-034,D614G,0.0107
imprinted_2022,BD57-037,D614G,0.00652
imprinted_2022,BD57-038,D614G,0.00368
imprinted_2022,BD57-039,D614G,0.325
imprinted_2022,BD57-041,D614G,0.0285
imprinted_2022,BD57-042,D614G,0.00592
imprinted_2022,BD57-043,D614G,0.00148
imprinted_2022,BD57-045,D614G,0.001
imprinted_2022,BD57-046,D614G,0.00762
imprinted_2022,BD57-047,D614G,0.00867
imprinted_2022,BD57-049,D614G,0.00156
imprinted_2022,BD57-051,D614G,0.143
imprinted_2022,BD57-052,D614G,0.0249
imprinted_2022,BD57-053,D614G,0.0348
imprinted_2022,BD57-054,D614G,0.00335
imprinted_2022,BD57-056,D614G,0.00303
imprinted_2022,BD57-057,D614G,5.03
imprinted_2022,BD57-058,D614G,0.0618
imprinted_2022,BD57-059,D614G,0.022
imprinted_2022,BD57-060,D614G,0.0176
imprinted_2022,BD57-061,D614G,0.00152
imprinted_2022,BD57-062,D614G,0.00582
imprinted_2022,BD57-063,D614G,0.736
imprinted_2022,BD57-064,D614G,10.0
imprinted_2022,BD57-065,D614G,0.0404
imprinted_2022,BD57-066,D614G,1.01
imprinted_2022,BD57-067,D614G,0.00573
imprinted_2022,BD57-068,D614G,0.0421
imprinted_2022,BD57-069,D614G,0.0444
imprinted_2022,BD57-071,D614G,0.298
imprinted_2022,BD57-072,D614G,2.51
imprinted_2022,BD57-073,D614G,0.029
imprinted_2022,BD57-074,D614G,10.0
imprinted_2022,BD57-075,D614G,10.0
imprinted_2022,BD57-076,D614G,10.0
imprinted_2022,BD57-077,D614G,0.00568
imprinted_2022,BD57-078,D614G,0.0282
imprinted_2022,BD57-079,D614G,0.00459
imprinted_2022,BD57-082,D614G,0.00157
imprinted_2022,BD57-083,D614G,10.0
imprinted_2022,BD57-085,D614G,0.154
imprinted_2022,BD57-088,D614G,0.877
imprinted_2022,BD57-089,D614G,0.048
imprinted_2022,BD57-090,D614G,10.0
imprinted_2022,BD57-091,D614G,10.0
imprinted_2022,BD57-092,D614G,0.702
imprinted_2022,BD57-093,D614G,10.0
imprinted_2022,BD57-097,D614G,3.63
imprinted_2022,BD57-098,D614G,0.00237
imprinted_2022,BD57-099,D614G,0.172
imprinted_2022,BD57-100,D614G,0.307
imprinted_2022,BD56-003,D614G,0.00481
imprinted_2022,BD56-005,D614G,0.0025
imprinted_2022,BD56-007,D614G,0.00932
imprinted_2022,BD56-008,D614G,10.0
imprinted_2022,BD56-010,D614G,0.0136
imprinted_2022,BD56-012,D614G,0.00177
imprinted_2022,BD56-016,D614G,0.0014
imprinted_2022,BD56-019,D614G,0.276
imprinted_2022,BD56-021,D614G,0.001
imprinted_2022,BD56-022,D614G,0.00377
imprinted_2022,BD56-027,D614G,0.001
imprinted_2022,BD56-028,D614G,0.0083
imprinted_2022,BD56-031,D614G,0.00417
imprinted_2022,BD56-033,D614G,10.0
imprinted_2022,BD56-037,D614G,0.59
imprinted_2022,BD56-040,D614G,0.225
imprinted_2022,BD56-042,D614G,10.0
imprinted_2022,BD56-048,D614G,0.0345
imprinted_2022,BD56-049,D614G,0.001
imprinted_2022,BD56-052,D614G,6.67
imprinted_2022,BD56-054,D614G,0.0163
imprinted_2022,BD56-055,D614G,0.0513
imprinted_2022,BD56-056,D614G,6.88
imprinted_2022,BD56-057,D614G,4.57
imprinted_2022,BD56-059,D614G,0.00836
