study,antibody,virus,IC50
imprinted_2022,BD55-1508,BQ.1.1,10.0
imprinted_2022,BD55-1558,BQ.1.1,10.0
imprinted_2022,BD55-1579,BQ.1.1,10.0
imprinted_2022,BD55-1604,BQ.1.1,10.0
imprinted_2022,BD55-1694,BQ.1.1,10.0
imprinted_2022,BD55-1706,BQ.1.1,10.0
imprinted_2022,BD-807,BQ.1.1,10.0
imprinted_2022,BD55-1789,BQ.1.1,10.0
imprinted_2022,BD-809,BQ.1.1,1.66
imprinted_2022,BD55-1809,BQ.1.1,10.0
imprinted_2022,BD55-1831,BQ.1.1,10.0
imprinted_2022,BD-815,BQ.1.1,1.95
imprinted_2022,BD55-1868,BQ.1.1,10.0
imprinted_2022,BD-817,BQ.1.1,10.0
imprinted_2022,BD-819,BQ.1.1,10.0
imprinted_2022,BD-821,BQ.1.1,10.0
imprinted_2022,BD-822,BQ.1.1,10.0
imprinted_2022,BD-824,BQ.1.1,10.0
imprinted_2022,BD55-1962,BQ.1.1,10.0
imprinted_2022,BD-827,BQ.1.1,8.16
imprinted_2022,BD-828,BQ.1.1,10.0
imprinted_2022,BD-833,BQ.1.1,10.0
imprinted_2022,BD-835,BQ.1.1,10.0
imprinted_2022,BD-837,BQ.1.1,1.04
imprinted_2022,BD-843,BQ.1.1,10.0
imprinted_2022,BD-846,BQ.1.1,10.0
imprinted_2022,BD-849,BQ.1.1,10.0
imprinted_2022,BD-863,BQ.1.1,10.0
imprinted_2022,BD-864,BQ.1.1,10.0
imprinted_2022,BD-870,BQ.1.1,10.0
imprinted_2022,BD-898,BQ.1.1,0.00598
imprinted_2022,BD-899,BQ.1.1,10.0
imprinted_2022,BD-900,BQ.1.1,10.0
imprinted_2022,BD-904,BQ.1.1,10.0
imprinted_2022,BD-906,BQ.1.1,10.0
imprinted_2022,BD-907,BQ.1.1,10.0
imprinted_2022,BD-912,BQ.1.1,10.0
imprinted_2022,BD-913,BQ.1.1,10.0
imprinted_2022,BD55-547,BQ.1.1,10.0
imprinted_2022,BD55-556,BQ.1.1,10.0
imprinted_2022,BD55-557,BQ.1.1,10.0
imprinted_2022,BD55-583,BQ.1.1,10.0
imprinted_2022,BD55-587,BQ.1.1,10.0
imprinted_2022,BD55-593,BQ.1.1,10.0
imprinted_2022,BD55-598,BQ.1.1,10.0
imprinted_2022,BD55-599,BQ.1.1,10.0
imprinted_2022,BD55-600,BQ.1.1,10.0
imprinted_2022,BD55-603,BQ.1.1,10.0
imprinted_2022,BD55-606,BQ.1.1,10.0
imprinted_2022,BD55-616,BQ.1.1,10.0
imprinted_2022,BD55-632,BQ.1.1,10.0
imprinted_2022,BD55-659,BQ.1.1,10.0
imprinted_2022,BD55-676,BQ.1.1,10.0
imprinted_2022,BD55-682,BQ.1.1,10.0
imprinted_2022,BD55-683,BQ.1.1,10.0
imprinted_2022,BD55-688,BQ.1.1,10.0
imprinted_2022,BD55-696,BQ.1.1,10.0
imprinted_2022,BD55-711,BQ.1.1,10.0
imprinted_2022,BD55-725,BQ.1.1,10.0
imprinted_2022,BD55-742,BQ.1.1,10.0
imprinted_2022,BD55-745,BQ.1.1,10.0
imprinted_2022,BD55-746,BQ.1.1,2.01
imprinted_2022,BD55-747,BQ.1.1,10.0
imprinted_2022,BD55-749,BQ.1.1,10.0
imprinted_2022,BD55-958,BQ.1.1,10.0
imprinted_2022,BD55-965,BQ.1.1,10.0
imprinted_2022,BD55-970,BQ.1.1,10.0
imprinted_2022,BD55-972,BQ.1.1,10.0
imprinted_2022,BD55-977,BQ.1.1,10.0
imprinted_2022,BD55-979,BQ.1.1,10.0
imprinted_2022,BD55-988,BQ.1.1,10.0
imprinted_2022,BD55-998,BQ.1.1,10.0
imprinted_2022,WIBP-2B11,BQ.1.1,10.0
imprinted_2022,BD-732,BQ.1.1,10.0
imprinted_2022,BD-739,BQ.1.1,10.0
imprinted_2022,BD-743,BQ.1.1,10.0
imprinted_2022,BD-744,BQ.1.1,10.0
imprinted_2022,BD-748,BQ.1.1,10.0
imprinted_2022,BD-751,BQ.1.1,10.0
imprinted_2022,BD-758,BQ.1.1,10.0
imprinted_2022,BD-643,BQ.1.1,10.0
imprinted_2022,BD-767,BQ.1.1,10.0
imprinted_2022,BD-771,BQ.1.1,10.0
imprinted_2022,BD-778,BQ.1.1,1.39
imprinted_2022,BD-790,BQ.1.1,10.0
imprinted_2022,BD-791,BQ.1.1,10.0
imprinted_2022,BD-796,BQ.1.1,10.0
imprinted_2022,BD-801,BQ.1.1,10.0
imprinted_2022,BD-804,BQ.1.1,10.0
imprinted_2022,BD-805,BQ.1.1,10.0
imprinted_2022,BD-915,BQ.1.1,10.0
imprinted_2022,BD-916,BQ.1.1,10.0
imprinted_2022,BD-917,BQ.1.1,3.34
imprinted_2022,BD-918,BQ.1.1,10.0
imprinted_2022,BD-922,BQ.1.1,10.0
imprinted_2022,BD55-300,BQ.1.1,10.0
imprinted_2022,BD55-311,BQ.1.1,10.0
imprinted_2022,BD55-316,BQ.1.1,10.0
imprinted_2022,BD55-319,BQ.1.1,10.0
imprinted_2022,BD-667,BQ.1.1,10.0
imprinted_2022,BD55-387,BQ.1.1,10.0
imprinted_2022,BD55-389,BQ.1.1,10.0
imprinted_2022,BD-670,BQ.1.1,10.0
imprinted_2022,BD-692,BQ.1.1,6.89
imprinted_2022,BD-693,BQ.1.1,10.0
imprinted_2022,BD-694,BQ.1.1,10.0
imprinted_2022,BD-695,BQ.1.1,10.0
imprinted_2022,BD-702,BQ.1.1,10.0
imprinted_2022,BD-708,BQ.1.1,10.0
imprinted_2022,BD55-81,BQ.1.1,10.0
imprinted_2022,BD55-814,BQ.1.1,10.0
imprinted_2022,BD55-818,BQ.1.1,10.0
imprinted_2022,BD55-822,BQ.1.1,10.0
imprinted_2022,BD55-824,BQ.1.1,10.0
imprinted_2022,BD55-828,BQ.1.1,10.0
imprinted_2022,BD55-829,BQ.1.1,10.0
imprinted_2022,BD-713,BQ.1.1,10.0
imprinted_2022,BD55-833,BQ.1.1,10.0
imprinted_2022,BD55-837,BQ.1.1,10.0
imprinted_2022,BD55-839,BQ.1.1,10.0
imprinted_2022,BD55-842,BQ.1.1,10.0
imprinted_2022,BD55-846,BQ.1.1,10.0
imprinted_2022,BD55-847,BQ.1.1,10.0
imprinted_2022,BD-715,BQ.1.1,10.0
imprinted_2022,BD55-852,BQ.1.1,10.0
imprinted_2022,BD55-853,BQ.1.1,10.0
imprinted_2022,BD55-854,BQ.1.1,10.0
imprinted_2022,BD55-856,BQ.1.1,10.0
imprinted_2022,BD55-859,BQ.1.1,10.0
imprinted_2022,BD55-862,BQ.1.1,10.0
imprinted_2022,BD55-863,BQ.1.1,10.0
imprinted_2022,BD55-864,BQ.1.1,10.0
imprinted_2022,BD55-867,BQ.1.1,10.0
imprinted_2022,BD55-868,BQ.1.1,10.0
imprinted_2022,BD55-870,BQ.1.1,10.0
imprinted_2022,BD55-871,BQ.1.1,10.0
imprinted_2022,BD55-873,BQ.1.1,10.0
imprinted_2022,BD55-874,BQ.1.1,10.0
imprinted_2022,BD55-875,BQ.1.1,10.0
imprinted_2022,BD55-876,BQ.1.1,10.0
imprinted_2022,BD55-878,BQ.1.1,10.0
imprinted_2022,BD55-879,BQ.1.1,10.0
imprinted_2022,BD55-880,BQ.1.1,10.0
imprinted_2022,BD55-887,BQ.1.1,10.0
imprinted_2022,BD55-888,BQ.1.1,10.0
imprinted_2022,BD55-892,BQ.1.1,10.0
imprinted_2022,BD55-893,BQ.1.1,10.0
imprinted_2022,BD55-898,BQ.1.1,10.0
imprinted_2022,BD55-899,BQ.1.1,10.0
imprinted_2022,BD55-902,BQ.1.1,10.0
imprinted_2022,BD55-903,BQ.1.1,10.0
imprinted_2022,BD55-905,BQ.1.1,10.0
imprinted_2022,BD55-906,BQ.1.1,10.0
imprinted_2022,BD55-910,BQ.1.1,10.0
imprinted_2022,BD55-911,BQ.1.1,10.0
imprinted_2022,BD55-913,BQ.1.1,10.0
imprinted_2022,BD55-914,BQ.1.1,10.0
imprinted_2022,BD55-917,BQ.1.1,10.0
imprinted_2022,BD55-918,BQ.1.1,10.0
imprinted_2022,BD55-920,BQ.1.1,10.0
imprinted_2022,BD55-925,BQ.1.1,10.0
imprinted_2022,BD55-929,BQ.1.1,10.0
imprinted_2022,BD55-93,BQ.1.1,10.0
imprinted_2022,BD55-930,BQ.1.1,10.0
imprinted_2022,BD55-931,BQ.1.1,10.0
imprinted_2022,BD55-934,BQ.1.1,10.0
imprinted_2022,BD55-935,BQ.1.1,10.0
imprinted_2022,BD55-936,BQ.1.1,10.0
imprinted_2022,BD55-939,BQ.1.1,10.0
imprinted_2022,BD55-942,BQ.1.1,10.0
imprinted_2022,BD55-944,BQ.1.1,10.0
imprinted_2022,BD55-947,BQ.1.1,10.0
imprinted_2022,BD55-948,BQ.1.1,10.0
imprinted_2022,BD-725,BQ.1.1,10.0
imprinted_2022,BD55-97,BQ.1.1,10.0
imprinted_2022,XG2v-004,BQ.1.1,10.0
imprinted_2022,XG2v-006,BQ.1.1,10.0
imprinted_2022,XG2v-032,BQ.1.1,10.0
imprinted_2022,XG2v-033,BQ.1.1,4.96
imprinted_2022,XG2v-039,BQ.1.1,10.0
imprinted_2022,XG2v-045,BQ.1.1,10.0
imprinted_2022,XG2v-052,BQ.1.1,10.0
imprinted_2022,XG2v-070,BQ.1.1,10.0
imprinted_2022,XG2v-083,BQ.1.1,10.0
imprinted_2022,XG2v-095,BQ.1.1,10.0
imprinted_2022,XG2v-098,BQ.1.1,10.0
imprinted_2022,XG2v-126,BQ.1.1,2.51
imprinted_2022,XGv-003,BQ.1.1,10.0
imprinted_2022,XGv-008,BQ.1.1,10.0
imprinted_2022,XGv-010,BQ.1.1,10.0
imprinted_2022,XGv-011,BQ.1.1,10.0
imprinted_2022,XGv-014,BQ.1.1,10.0
imprinted_2022,XGv-016,BQ.1.1,0.309
imprinted_2022,XGv-018,BQ.1.1,4.85
imprinted_2022,XGv-023,BQ.1.1,10.0
imprinted_2022,XGv-024,BQ.1.1,10.0
imprinted_2022,XGv-032,BQ.1.1,10.0
imprinted_2022,XGv-038,BQ.1.1,10.0
imprinted_2022,XGv-039,BQ.1.1,10.0
imprinted_2022,XGv-040,BQ.1.1,10.0
imprinted_2022,XGv-047,BQ.1.1,10.0
imprinted_2022,XGv-049,BQ.1.1,10.0
imprinted_2022,XGv-050,BQ.1.1,10.0
imprinted_2022,XGv-056,BQ.1.1,10.0
imprinted_2022,XGv-057,BQ.1.1,10.0
imprinted_2022,XGv-072,BQ.1.1,10.0
imprinted_2022,XGv-073,BQ.1.1,10.0
imprinted_2022,XGv-080,BQ.1.1,10.0
imprinted_2022,XGv-094,BQ.1.1,10.0
imprinted_2022,XGv-097,BQ.1.1,1.44
imprinted_2022,XGv-107,BQ.1.1,10.0
imprinted_2022,XGv-116,BQ.1.1,10.0
imprinted_2022,XGv-152,BQ.1.1,10.0
imprinted_2022,XGv-155,BQ.1.1,10.0
imprinted_2022,XGv-172,BQ.1.1,10.0
imprinted_2022,XGv-174,BQ.1.1,10.0
imprinted_2022,XGv-175,BQ.1.1,10.0
imprinted_2022,XGv-179,BQ.1.1,10.0
imprinted_2022,XGv-19,BQ.1.1,10.0
imprinted_2022,XGv-191,BQ.1.1,10.0
imprinted_2022,XGv-198,BQ.1.1,10.0
imprinted_2022,XGv-199,BQ.1.1,10.0
imprinted_2022,XGv-20,BQ.1.1,10.0
imprinted_2022,XGv-208,BQ.1.1,10.0
imprinted_2022,XGv-212,BQ.1.1,10.0
imprinted_2022,XGv-214,BQ.1.1,10.0
imprinted_2022,XGv-225,BQ.1.1,10.0
imprinted_2022,XGv-227,BQ.1.1,10.0
imprinted_2022,XGv-232,BQ.1.1,10.0
imprinted_2022,XGv-233,BQ.1.1,10.0
imprinted_2022,XGv-236,BQ.1.1,10.0
imprinted_2022,XGv-250,BQ.1.1,10.0
imprinted_2022,XGv-251,BQ.1.1,10.0
imprinted_2022,XGv-252,BQ.1.1,5.91
imprinted_2022,XGv-253,BQ.1.1,10.0
imprinted_2022,XGv-261,BQ.1.1,10.0
imprinted_2022,XGv-263,BQ.1.1,10.0
imprinted_2022,XGv-264,BQ.1.1,10.0
imprinted_2022,XGv-265,BQ.1.1,10.0
imprinted_2022,XGv-266,BQ.1.1,10.0
imprinted_2022,XGv-279,BQ.1.1,10.0
imprinted_2022,XGv-282,BQ.1.1,0.0374
imprinted_2022,XGv-284,BQ.1.1,10.0
imprinted_2022,XGv-285,BQ.1.1,4.41
imprinted_2022,XGv-286,BQ.1.1,0.0274
imprinted_2022,XGv-287,BQ.1.1,10.0
imprinted_2022,XGv-288,BQ.1.1,0.385
imprinted_2022,XGv-289,BQ.1.1,0.991
imprinted_2022,XGv-290,BQ.1.1,0.28
imprinted_2022,XGv-291,BQ.1.1,0.229
imprinted_2022,XGv-292,BQ.1.1,10.0
imprinted_2022,XGv-293,BQ.1.1,0.0158
imprinted_2022,XGv-294,BQ.1.1,10.0
imprinted_2022,XGv-295,BQ.1.1,0.049
imprinted_2022,XGv-296,BQ.1.1,0.974
imprinted_2022,XGv-297,BQ.1.1,0.463
imprinted_2022,XGv-298,BQ.1.1,10.0
imprinted_2022,XGv-300,BQ.1.1,10.0
imprinted_2022,XGv-305,BQ.1.1,10.0
imprinted_2022,XGv-306,BQ.1.1,10.0
imprinted_2022,XGv-311,BQ.1.1,10.0
imprinted_2022,XGv-318,BQ.1.1,10.0
imprinted_2022,XGv-324,BQ.1.1,10.0
imprinted_2022,XGv-337,BQ.1.1,1.5
imprinted_2022,XGv-343,BQ.1.1,10.0
imprinted_2022,XGv-345,BQ.1.1,10.0
imprinted_2022,XGv-346,BQ.1.1,10.0
imprinted_2022,XGv-347,BQ.1.1,10.0
imprinted_2022,XGv-360,BQ.1.1,10.0
imprinted_2022,XGv-401,BQ.1.1,0.63
imprinted_2022,XGv-402,BQ.1.1,10.0
imprinted_2022,XGv-404,BQ.1.1,10.0
imprinted_2022,XGv-409,BQ.1.1,10.0
imprinted_2022,XGv-412,BQ.1.1,10.0
imprinted_2022,XGv-418,BQ.1.1,1.05
imprinted_2022,XGv-420,BQ.1.1,10.0
imprinted_2022,XGv-421,BQ.1.1,10.0
imprinted_2022,XGv-422,BQ.1.1,1.06
imprinted_2022,BD57-001,BQ.1.1,10.0
imprinted_2022,BD57-002,BQ.1.1,0.0535
imprinted_2022,BD57-003,BQ.1.1,3.95
imprinted_2022,BD57-005,BQ.1.1,10.0
imprinted_2022,BD57-006,BQ.1.1,10.0
imprinted_2022,BD57-012,BQ.1.1,10.0
imprinted_2022,BD57-013,BQ.1.1,2.63
imprinted_2022,BD57-014,BQ.1.1,10.0
imprinted_2022,BD57-015,BQ.1.1,10.0
imprinted_2022,BD57-017,BQ.1.1,10.0
imprinted_2022,BD57-018,BQ.1.1,10.0
imprinted_2022,BD57-020,BQ.1.1,10.0
imprinted_2022,BD57-022,BQ.1.1,10.0
imprinted_2022,BD57-023,BQ.1.1,10.0
imprinted_2022,BD57-024,BQ.1.1,10.0
imprinted_2022,BD57-025,BQ.1.1,10.0
imprinted_2022,BD57-026,BQ.1.1,10.0
imprinted_2022,BD57-027,BQ.1.1,0.162
imprinted_2022,BD57-028,BQ.1.1,4.91
imprinted_2022,BD57-029,BQ.1.1,0.0556
imprinted_2022,BD57-030,BQ.1.1,10.0
imprinted_2022,BD57-031,BQ.1.1,10.0
imprinted_2022,BD57-034,BQ.1.1,10.0
imprinted_2022,BD57-037,BQ.1.1,10.0
imprinted_2022,BD57-038,BQ.1.1,7.41
imprinted_2022,BD57-039,BQ.1.1,10.0
imprinted_2022,BD57-041,BQ.1.1,10.0
imprinted_2022,BD57-042,BQ.1.1,10.0
imprinted_2022,BD57-043,BQ.1.1,10.0
imprinted_2022,BD57-045,BQ.1.1,4.04
imprinted_2022,BD57-046,BQ.1.1,10.0
imprinted_2022,BD57-047,BQ.1.1,10.0
imprinted_2022,BD57-049,BQ.1.1,3.63
imprinted_2022,BD57-051,BQ.1.1,10.0
imprinted_2022,BD57-052,BQ.1.1,10.0
imprinted_2022,BD57-053,BQ.1.1,10.0
imprinted_2022,BD57-054,BQ.1.1,10.0
imprinted_2022,BD57-056,BQ.1.1,0.0756
imprinted_2022,BD57-057,BQ.1.1,8.36
imprinted_2022,BD57-058,BQ.1.1,10.0
imprinted_2022,BD57-059,BQ.1.1,10.0
imprinted_2022,BD57-060,BQ.1.1,10.0
imprinted_2022,BD57-061,BQ.1.1,0.0116
imprinted_2022,BD57-062,BQ.1.1,10.0
imprinted_2022,BD57-063,BQ.1.1,4.74
imprinted_2022,BD57-064,BQ.1.1,10.0
imprinted_2022,BD57-065,BQ.1.1,10.0
imprinted_2022,BD57-066,BQ.1.1,1.18
imprinted_2022,BD57-067,BQ.1.1,10.0
imprinted_2022,BD57-068,BQ.1.1,10.0
imprinted_2022,BD57-069,BQ.1.1,10.0
imprinted_2022,BD57-071,BQ.1.1,4.74
imprinted_2022,BD57-072,BQ.1.1,10.0
imprinted_2022,BD57-073,BQ.1.1,10.0
imprinted_2022,BD57-074,BQ.1.1,10.0
imprinted_2022,BD57-075,BQ.1.1,10.0
imprinted_2022,BD57-076,BQ.1.1,10.0
imprinted_2022,BD57-077,BQ.1.1,10.0
imprinted_2022,BD57-078,BQ.1.1,10.0
imprinted_2022,BD57-079,BQ.1.1,0.881
imprinted_2022,BD57-082,BQ.1.1,2.9
imprinted_2022,BD57-083,BQ.1.1,10.0
imprinted_2022,BD57-085,BQ.1.1,10.0
imprinted_2022,BD57-088,BQ.1.1,9.34
imprinted_2022,BD57-089,BQ.1.1,0.893
imprinted_2022,BD57-090,BQ.1.1,10.0
imprinted_2022,BD57-091,BQ.1.1,10.0
imprinted_2022,BD57-092,BQ.1.1,3.6
imprinted_2022,BD57-093,BQ.1.1,10.0
imprinted_2022,BD57-097,BQ.1.1,7.21
imprinted_2022,BD57-098,BQ.1.1,4.36
imprinted_2022,BD57-099,BQ.1.1,10.0
imprinted_2022,BD57-100,BQ.1.1,2.81
imprinted_2022,BD56-003,BQ.1.1,10.0
imprinted_2022,BD56-005,BQ.1.1,10.0
imprinted_2022,BD56-007,BQ.1.1,10.0
imprinted_2022,BD56-008,BQ.1.1,10.0
imprinted_2022,BD56-010,BQ.1.1,10.0
imprinted_2022,BD56-012,BQ.1.1,10.0
imprinted_2022,BD56-016,BQ.1.1,10.0
imprinted_2022,BD56-019,BQ.1.1,10.0
imprinted_2022,BD56-021,BQ.1.1,10.0
imprinted_2022,BD56-022,BQ.1.1,10.0
imprinted_2022,BD56-027,BQ.1.1,10.0
imprinted_2022,BD56-028,BQ.1.1,10.0
imprinted_2022,BD56-031,BQ.1.1,10.0
imprinted_2022,BD56-033,BQ.1.1,10.0
imprinted_2022,BD56-037,BQ.1.1,10.0
imprinted_2022,BD56-040,BQ.1.1,10.0
imprinted_2022,BD56-042,BQ.1.1,10.0
imprinted_2022,BD56-048,BQ.1.1,10.0
imprinted_2022,BD56-049,BQ.1.1,0.809
imprinted_2022,BD56-052,BQ.1.1,10.0
imprinted_2022,BD56-054,BQ.1.1,10.0
imprinted_2022,BD56-055,BQ.1.1,10.0
imprinted_2022,BD56-056,BQ.1.1,10.0
imprinted_2022,BD56-057,BQ.1.1,10.0
imprinted_2022,BD56-059,BQ.1.1,10.0
imprinted_2022,BD56-063,BQ.1.1,10.0
imprinted_2022,BD56-066,BQ.1.1,1.2
imprinted_2022,BD56-068,BQ.1.1,10.0
imprinted_2022,BD56-069,BQ.1.1,0.95
imprinted_2022,BD56-070,BQ.1.1,10.0
imprinted_2022,BD56-071,BQ.1.1,2.25
imprinted_2022,BD56-073,BQ.1.1,2.92
imprinted_2022,BD56-075,BQ.1.1,10.0
imprinted_2022,BD56-076,BQ.1.1,10.0
imprinted_2022,BD56-077,BQ.1.1,10.0
imprinted_2022,BD56-081,BQ.1.1,10.0
imprinted_2022,BD56-082,BQ.1.1,10.0
imprinted_2022,BD56-086,BQ.1.1,10.0
imprinted_2022,BD56-087,BQ.1.1,10.0
imprinted_2022,BD56-088,BQ.1.1,10.0
imprinted_2022,BD56-090,BQ.1.1,10.0
imprinted_2022,BD56-091,BQ.1.1,10.0
imprinted_2022,BD56-097,BQ.1.1,10.0
imprinted_2022,BD56-098,BQ.1.1,10.0
imprinted_2022,BD56-100,BQ.1.1,10.0
imprinted_2022,BD56-101,BQ.1.1,10.0
imprinted_2022,BD56-103,BQ.1.1,3.53
imprinted_2022,BD56-105,BQ.1.1,10.0
imprinted_2022,BD56-107,BQ.1.1,10.0
imprinted_2022,BD56-109,BQ.1.1,6.71
imprinted_2022,BD56-110,BQ.1.1,1.89
imprinted_2022,BD56-111,BQ.1.1,7.3
imprinted_2022,BD56-112,BQ.1.1,10.0
imprinted_2022,BD56-114,BQ.1.1,10.0
imprinted_2022,BD56-116,BQ.1.1,10.0
imprinted_2022,BD56-117,BQ.1.1,10.0
imprinted_2022,BD56-119,BQ.1.1,10.0
imprinted_2022,BD56-120,BQ.1.1,10.0
imprinted_2022,BD56-121,BQ.1.1,10.0
imprinted_2022,BD56-122,BQ.1.1,10.0
imprinted_2022,BD56-123,BQ.1.1,10.0
imprinted_2022,BD56-124,BQ.1.1,2.68
imprinted_2022,BD56-125,BQ.1.1,10.0
imprinted_2022,BD56-126,BQ.1.1,10.0
imprinted_2022,BD56-127,BQ.1.1,8.0
imprinted_2022,BD56-130,BQ.1.1,10.0
imprinted_2022,BD56-131,BQ.1.1,10.0
imprinted_2022,BD56-132,BQ.1.1,10.0
imprinted_2022,BD56-133,BQ.1.1,10.0
imprinted_2022,BD56-134,BQ.1.1,10.0
imprinted_2022,BD56-138,BQ.1.1,10.0
imprinted_2022,BD56-139,BQ.1.1,10.0
imprinted_2022,BD56-140,BQ.1.1,1.51
imprinted_2022,BD56-141,BQ.1.1,10.0
imprinted_2022,BD56-142,BQ.1.1,10.0
imprinted_2022,BD56-143,BQ.1.1,10.0
imprinted_2022,BD56-144,BQ.1.1,10.0
imprinted_2022,BD56-145,BQ.1.1,10.0
imprinted_2022,BD56-147,BQ.1.1,1.27
imprinted_2022,BD56-148,BQ.1.1,4.89
imprinted_2022,BD56-152,BQ.1.1,10.0
imprinted_2022,BD56-153,BQ.1.1,10.0
imprinted_2022,BD56-154,BQ.1.1,0.56
imprinted_2022,BD56-155,BQ.1.1,10.0
imprinted_2022,BD56-156,BQ.1.1,10.0
imprinted_2022,BD56-157,BQ.1.1,10.0
imprinted_2022,BD56-158,BQ.1.1,10.0
imprinted_2022,BD56-159,BQ.1.1,10.0
imprinted_2022,BD56-161,BQ.1.1,10.0
imprinted_2022,BD56-164,BQ.1.1,10.0
imprinted_2022,BD56-165,BQ.1.1,10.0
imprinted_2022,BD56-166,BQ.1.1,10.0
imprinted_2022,BD56-167,BQ.1.1,10.0
imprinted_2022,BD56-169,BQ.1.1,6.87
imprinted_2022,BD56-170,BQ.1.1,2.43
imprinted_2022,BD56-171,BQ.1.1,0.786
imprinted_2022,BD56-172,BQ.1.1,6.54
imprinted_2022,BD56-173,BQ.1.1,10.0
imprinted_2022,BD56-174,BQ.1.1,10.0
imprinted_2022,BD56-177,BQ.1.1,10.0
imprinted_2022,BD56-179,BQ.1.1,10.0
imprinted_2022,BD56-181,BQ.1.1,10.0
imprinted_2022,BD56-184,BQ.1.1,10.0
imprinted_2022,BD56-187,BQ.1.1,10.0
imprinted_2022,BD56-188,BQ.1.1,3.69
imprinted_2022,BD56-189,BQ.1.1,10.0
imprinted_2022,BD56-190,BQ.1.1,10.0
imprinted_2022,BD56-193,BQ.1.1,10.0
imprinted_2022,BD56-194,BQ.1.1,10.0
imprinted_2022,BD56-195,BQ.1.1,1.75
imprinted_2022,BD56-197,BQ.1.1,4.05
imprinted_2022,BD56-199,BQ.1.1,10.0
imprinted_2022,BD56-204,BQ.1.1,2.44
imprinted_2022,BD56-208,BQ.1.1,5.42
imprinted_2022,BD56-210,BQ.1.1,10.0
imprinted_2022,BD56-213,BQ.1.1,0.637
imprinted_2022,BD56-215,BQ.1.1,10.0
imprinted_2022,BD56-216,BQ.1.1,10.0
imprinted_2022,BD56-217,BQ.1.1,10.0
imprinted_2022,BD56-218,BQ.1.1,6.6
imprinted_2022,BD56-219,BQ.1.1,10.0
imprinted_2022,BD56-220,BQ.1.1,4.71
imprinted_2022,BD56-223,BQ.1.1,10.0
imprinted_2022,BD56-224,BQ.1.1,10.0
imprinted_2022,BD56-232,BQ.1.1,1.44
imprinted_2022,BD56-233,BQ.1.1,10.0
imprinted_2022,BD56-260,BQ.1.1,10.0
imprinted_2022,BD56-263,BQ.1.1,10.0
imprinted_2022,BD56-264,BQ.1.1,10.0
imprinted_2022,BD56-265,BQ.1.1,10.0
imprinted_2022,BD56-300,BQ.1.1,10.0
imprinted_2022,BD56-322,BQ.1.1,10.0
imprinted_2022,BD56-327,BQ.1.1,0.792
imprinted_2022,BD56-330,BQ.1.1,10.0
imprinted_2022,BD56-331,BQ.1.1,10.0
imprinted_2022,BD56-332,BQ.1.1,10.0
imprinted_2022,BD56-333,BQ.1.1,10.0
imprinted_2022,BD56-395,BQ.1.1,2.77
imprinted_2022,BD56-400,BQ.1.1,10.0
imprinted_2022,BD56-412,BQ.1.1,10.0
imprinted_2022,BD56-416,BQ.1.1,10.0
imprinted_2022,BD56-418,BQ.1.1,10.0
imprinted_2022,BD56-419,BQ.1.1,10.0
imprinted_2022,BD56-420,BQ.1.1,10.0
imprinted_2022,BD56-423,BQ.1.1,10.0
imprinted_2022,BD56-424,BQ.1.1,3.91
imprinted_2022,BD56-426,BQ.1.1,10.0
imprinted_2022,BD56-427,BQ.1.1,10.0
imprinted_2022,BD56-428,BQ.1.1,1.14
imprinted_2022,BD56-430,BQ.1.1,10.0
imprinted_2022,BD56-431,BQ.1.1,10.0
imprinted_2022,BD56-433,BQ.1.1,10.0
imprinted_2022,BD56-436,BQ.1.1,10.0
imprinted_2022,BD56-437,BQ.1.1,10.0
imprinted_2022,BD56-438,BQ.1.1,10.0
imprinted_2022,BD56-442,BQ.1.1,10.0
imprinted_2022,BD56-444,BQ.1.1,10.0
imprinted_2022,BD56-447,BQ.1.1,1.48
imprinted_2022,BD56-451,BQ.1.1,10.0
imprinted_2022,BD56-454,BQ.1.1,10.0
imprinted_2022,BD56-456,BQ.1.1,10.0
imprinted_2022,BD56-457,BQ.1.1,10.0
imprinted_2022,BD56-458,BQ.1.1,10.0
imprinted_2022,BD56-461,BQ.1.1,10.0
imprinted_2022,BD56-464,BQ.1.1,10.0
imprinted_2022,BD56-467,BQ.1.1,10.0
imprinted_2022,BD56-468,BQ.1.1,10.0
imprinted_2022,BD56-469,BQ.1.1,10.0
imprinted_2022,BD56-470,BQ.1.1,2.85
imprinted_2022,BD56-471,BQ.1.1,0.137
imprinted_2022,BD56-472,BQ.1.1,10.0
imprinted_2022,BD56-474,BQ.1.1,10.0
imprinted_2022,BD56-475,BQ.1.1,10.0
imprinted_2022,BD56-476,BQ.1.1,10.0
imprinted_2022,BD56-477,BQ.1.1,10.0
imprinted_2022,BD56-479,BQ.1.1,10.0
imprinted_2022,BD56-480,BQ.1.1,10.0
imprinted_2022,BD56-481,BQ.1.1,10.0
imprinted_2022,BD56-482,BQ.1.1,10.0
imprinted_2022,BD56-483,BQ.1.1,10.0
imprinted_2022,BD56-484,BQ.1.1,10.0
imprinted_2022,BD56-487,BQ.1.1,10.0
imprinted_2022,BD56-488,BQ.1.1,10.0
imprinted_2022,BD56-489,BQ.1.1,10.0
imprinted_2022,BD56-490,BQ.1.1,10.0
imprinted_2022,BD56-491,BQ.1.1,10.0
imprinted_2022,BD56-494,BQ.1.1,10.0
